Customer ID,Recency,Frequency,Monetary,Avg_Days_Stay,Avg_Rooms,Avg_Hotel_Rating,Avg_Profit,Cluster
DF12345,1,1,182,1.0,1.0,4.3,0.24,0
ID00001,3652,1,312,1.0,2.0,4.2,0.24,0
ID00002,3651,1,93,3.0,3.0,3.8,0.22,2
ID00003,3651,1,329,4.0,1.0,4.5,0.14,0
ID00004,3650,1,99,1.0,1.0,3.8,0.22,2
ID00005,3650,1,428,6.0,4.0,4.6,0.1,3
ID00006,3650,1,132,1.0,2.0,4.1,0.22,2
ID00007,3649,1,219,1.0,4.0,4.6,0.16,3
ID00008,3648,1,115,2.0,1.0,4.3,0.2,1
ID00009,3648,1,371,1.0,2.0,4.6,0.18,0
ID00010,3647,1,145,1.0,4.0,4.3,0.24,3
ID00011,3647,1,173,3.0,2.0,4.4,0.22,1
ID00012,3647,1,136,1.0,1.0,4.5,0.13,1
ID00013,3646,1,121,2.0,4.0,4.1,0.15,1
ID00014,3645,1,146,6.0,2.0,4.2,0.25,2
ID00015,3645,1,121,7.0,3.0,4.1,0.15,1
ID00016,3645,1,98,1.0,2.0,3.8,0.25,2
ID00017,3645,1,142,9.0,4.0,4.3,0.14,1
ID00018,3644,1,303,3.0,2.0,4.6,0.17,0
ID00019,3643,1,333,8.0,2.0,4.6,0.14,0
ID00020,3643,1,223,3.0,2.0,4.4,0.24,0
ID00021,3643,1,88,5.0,3.0,3.3,0.28,2
ID00022,3642,1,312,3.0,3.0,4.2,0.24,3
ID00023,3642,1,371,1.0,4.0,4.6,0.18,3
ID00024,3640,1,430,7.0,1.0,4.2,0.2,0
ID00025,3638,1,173,1.0,3.0,4.4,0.22,3
ID00026,3637,1,243,3.0,2.0,4.3,0.25,0
ID00027,3637,1,223,3.0,3.0,4.4,0.24,3
ID00028,3637,1,158,1.0,1.0,4.3,0.24,0
ID00029,3636,1,430,3.0,1.0,4.2,0.2,0
ID00030,3636,1,136,1.0,2.0,4.5,0.13,1
ID00031,3635,1,309,1.0,3.0,4.7,0.25,3
ID00032,3635,1,161,1.0,1.0,4.4,0.1,1
ID00033,3634,1,313,5.0,2.0,4.6,0.17,0
ID00034,3634,1,371,3.0,3.0,4.6,0.18,3
ID00035,3633,1,253,9.0,2.0,4.5,0.11,1
ID00036,3632,1,338,1.0,3.0,4.5,0.2,3
ID00037,3632,1,97,2.0,3.0,4.4,0.13,1
ID00038,3632,1,162,1.0,1.0,4.1,0.13,1
ID00039,3631,1,142,8.0,3.0,4.3,0.14,1
ID00040,3631,1,371,1.0,2.0,4.6,0.18,0
ID00041,3630,1,93,2.0,1.0,3.8,0.22,2
ID00042,3630,1,195,4.0,2.0,4.6,0.1,1
ID00043,3629,1,291,8.0,3.0,4.6,0.16,3
ID00044,3628,1,357,1.0,3.0,4.5,0.17,3
ID00045,3628,1,93,3.0,3.0,3.8,0.22,2
ID00046,3628,1,312,4.0,1.0,4.2,0.24,0
ID00047,3628,1,132,2.0,2.0,4.1,0.22,2
ID00048,3627,1,132,9.0,1.0,4.3,0.14,1
ID00049,3627,1,146,1.0,3.0,4.2,0.25,2
ID00050,3627,1,80,1.0,2.0,3.7,0.3,2
ID00051,3627,1,133,6.0,4.0,4.1,0.16,3
ID00052,3626,1,161,3.0,4.0,4.4,0.1,1
ID00053,3626,1,93,1.0,1.0,3.8,0.22,2
ID00054,3625,1,131,1.0,3.0,4.1,0.22,2
ID00055,3625,1,309,6.0,4.0,4.7,0.25,3
ID00056,3624,1,251,3.0,4.0,4.4,0.14,3
ID00057,3624,1,98,3.0,2.0,3.8,0.25,2
ID00058,3623,1,145,1.0,1.0,4.3,0.24,2
ID00059,3623,1,316,9.0,3.0,4.6,0.21,3
ID00060,3622,1,158,1.0,2.0,4.3,0.24,2
ID00061,3622,1,158,1.0,3.0,4.3,0.24,3
ID00062,3622,1,155,4.0,3.0,4.3,0.24,3
ID00063,3622,1,93,1.0,3.0,3.8,0.22,2
ID00064,3621,1,302,2.0,2.0,4.2,0.24,0
ID00065,3620,1,371,1.0,1.0,4.6,0.18,0
ID00066,3620,1,131,1.0,3.0,4.1,0.22,2
ID00067,3620,1,173,3.0,1.0,4.4,0.22,0
ID00068,3620,1,132,3.0,2.0,4.1,0.22,2
ID00069,3620,1,158,4.0,1.0,4.3,0.24,2
ID00070,3619,1,99,1.0,1.0,3.8,0.22,2
ID00071,3618,1,98,3.0,3.0,3.8,0.25,2
ID00072,3617,1,99,1.0,4.0,3.8,0.22,2
ID00073,3617,1,291,1.0,4.0,4.4,0.22,3
ID00074,3617,1,313,9.0,3.0,4.6,0.17,3
ID00075,3616,1,98,1.0,1.0,3.8,0.25,2
ID00076,3615,1,142,1.0,2.0,4.3,0.14,1
ID00077,3615,1,132,1.0,1.0,4.1,0.22,2
ID00078,3615,1,132,6.0,3.0,4.1,0.22,2
ID00079,3615,1,430,1.0,3.0,4.2,0.2,3
ID00080,3614,1,251,1.0,3.0,4.4,0.14,3
ID00081,3614,1,244,2.0,4.0,4.2,0.19,3
ID00082,3614,1,251,1.0,4.0,4.4,0.14,3
ID00083,3613,1,154,1.0,1.0,4.2,0.1,1
ID00084,3613,1,312,5.0,1.0,4.2,0.24,0
ID00085,3612,1,161,2.0,3.0,4.5,0.15,1
ID00086,3612,1,116,3.0,3.0,3.9,0.3,2
ID00087,3611,1,253,3.0,1.0,4.5,0.11,1
ID00088,3611,1,214,1.0,3.0,4.5,0.22,3
ID00089,3610,1,125,3.0,3.0,4.3,0.2,1
ID00090,3610,1,162,1.0,2.0,4.3,0.2,1
ID00091,3610,1,158,3.0,3.0,4.3,0.24,3
ID00092,3610,1,214,30.0,2.0,4.5,0.22,1
ID00093,3609,1,161,3.0,1.0,4.5,0.15,1
ID00094,3608,1,151,6.0,2.0,4.5,0.15,1
ID00095,3607,1,253,2.0,2.0,4.5,0.11,1
ID00096,3607,1,244,3.0,4.0,4.2,0.19,3
ID00097,3606,1,333,2.0,4.0,4.6,0.14,3
ID00098,3606,1,97,1.0,3.0,4.4,0.13,1
ID00099,3605,1,89,7.0,1.0,3.8,0.22,2
ID00100,3605,1,173,3.0,2.0,4.4,0.22,1
ID00101,3605,1,161,3.0,2.0,4.5,0.15,1
ID00102,3603,1,173,4.0,3.0,4.4,0.22,3
ID00103,3602,1,131,2.0,3.0,4.1,0.22,2
ID00104,3602,1,98,1.0,1.0,3.8,0.25,2
ID00105,3601,1,99,3.0,2.0,3.8,0.22,2
ID00106,3601,1,133,1.0,1.0,4.1,0.16,1
ID00107,3600,1,152,3.0,1.0,4.1,0.13,1
ID00108,3600,1,357,1.0,4.0,4.5,0.17,3
ID00109,3600,1,173,1.0,3.0,4.4,0.22,3
ID00110,3600,1,154,1.0,2.0,4.2,0.1,1
ID00111,3600,1,313,1.0,1.0,4.6,0.17,0
ID00112,3599,1,98,1.0,1.0,3.8,0.25,2
ID00113,3599,1,80,6.0,1.0,3.7,0.3,2
ID00114,3599,1,253,1.0,3.0,4.5,0.11,3
ID00115,3599,1,161,1.0,1.0,4.4,0.1,1
ID00116,3598,1,158,3.0,3.0,4.3,0.24,3
ID00117,3598,1,329,1.0,2.0,4.5,0.14,0
ID00118,3597,1,97,2.0,1.0,4.4,0.13,1
ID00119,3597,1,254,7.0,2.0,4.2,0.13,1
ID00120,3597,1,165,7.0,1.0,4.2,0.23,2
ID00121,3596,1,371,1.0,3.0,4.6,0.18,3
ID00122,3596,1,223,5.0,1.0,4.4,0.24,0
ID00123,3596,1,162,9.0,3.0,4.1,0.13,1
ID00124,3596,1,116,1.0,3.0,3.9,0.3,2
ID00125,3596,1,158,8.0,3.0,4.3,0.24,3
ID00126,3592,1,98,8.0,4.0,3.8,0.25,2
ID00127,3591,1,214,8.0,1.0,4.5,0.22,0
ID00128,3591,1,222,1.0,2.0,4.6,0.14,1
ID00129,3591,1,131,1.0,3.0,4.1,0.22,2
ID00130,3590,1,243,3.0,1.0,4.5,0.11,1
ID00131,3590,1,291,1.0,1.0,4.6,0.16,0
ID00132,3590,1,313,1.0,3.0,4.6,0.17,3
ID00133,3589,1,155,1.0,1.0,4.3,0.24,2
ID00134,3589,1,219,3.0,1.0,4.6,0.16,0
ID00135,3588,1,357,1.0,3.0,4.5,0.17,3
ID00136,3588,1,161,3.0,2.0,4.4,0.1,1
ID00137,3587,1,222,1.0,1.0,4.6,0.14,0
ID00138,3587,1,93,8.0,2.0,3.8,0.22,2
ID00139,3586,1,162,1.0,3.0,4.1,0.13,1
